adult_weekday,adult_weekend,average_snowfall,base_elev,daysopenlast_year,double,fast_quads,fast_sixes,longest_run_mi,name,night_skiing_ac,projecteddays_open,quad,region,runs,skiable_terrain_ac,snow_making_ac,state,summit_elev,surface,terrain_parks,total_chairs,trams,triple,vertical_drop,years_open,price_delta
46.0,46.0,325.0,6400,84.0,5,0,0,2.5,lost_trail_-_powder_mtn,,80.0,0,montana,69.0,1800.0,,montana,8200,3,2.0,8,0,0,1800,81.0,0.0
39.0,39.0,160.0,6500,,1,0,0,1.3,maverick_mountain,,,0,montana,22.0,255.0,,montana,8520,1,,2,0,0,2020,83.0,0.0
50.0,50.0,300.0,5000,,2,0,0,1.2,montana_snowbowl,10.0,,0,montana,37.0,950.0,20.0,montana,7600,2,,4,0,0,2600,58.0,0.0
67.0,67.0,250.0,7016,142.0,3,2,0,2.5,red_lodge_mountain,,136.0,0,montana,70.0,1635.0,496.0,montana,9416,1,2.0,7,0,1,2400,59.0,0.0
47.0,47.0,250.0,6800,86.0,2,0,0,1.8,showdown_montana,,85.0,0,montana,36.0,640.0,,montana,8200,1,1.0,4,0,1,1400,83.0,0.0
39.0,39.0,250.0,6190,40.0,1,0,0,3.0,teton_pass_ski_resort,,150.0,0,montana,43.0,330.0,,montana,7200,2,1.0,3,0,0,1010,54.0,0.0
81.0,81.0,333.0,4464,123.0,0,3,0,3.3,big_mountain_resort,600.0,123.0,2,montana,105.0,3000.0,600.0,montana,6817,3,4.0,14,0,6,2353,72.0,0.0
89.0,99.0,300.0,6700,100.0,3,1,0,2.5,diamond_peak,,122.0,2,sierra_nevada,30.0,655.0,492.0,nevada,8540,1,3.0,7,0,0,1840,53.0,10.0
20.0,20.0,24.0,6300,19.0,1,0,0,1.0,elko_snobowl,,30.0,0,nevada,10.0,60.0,2.0,nevada,7000,1,,2,0,0,700,23.0,0.0
70.0,70.0,161.0,8510,144.0,0,0,0,0.3,lee_canyon,,150.0,2,nevada,24.0,195.0,50.0,nevada,11289,0,1.0,3,0,1,860,56.0,0.0
135.0,135.0,350.0,8260,152.0,0,0,2,2.5,mt._rose_-_ski_tahoe,,150.0,2,sierra_nevada,65.0,1200.0,330.0,nevada,9700,2,5.0,8,0,2,1800,55.0,0.0
79.0,89.0,120.0,600,115.0,2,2,0,3.0,attitash,,130.0,1,new_hampshire,68.0,311.0,240.0,new_hampshire,2350,1,3.0,9,0,3,1750,54.0,10.0
45.0,59.0,125.0,1250,110.0,1,0,0,1.6,black_mountain,,107.0,0,new_hampshire,45.0,143.0,120.0,new_hampshire,2350,3,,5,0,1,1100,84.0,14.0
85.0,99.0,200.0,1600,180.0,0,4,0,2.0,bretton_woods,45.0,180.0,1,new_hampshire,63.0,464.0,427.0,new_hampshire,3100,3,2.0,9,0,1,1500,46.0,14.0
79.0,79.0,160.0,1900,124.0,1,1,0,2.3,cannon_mountain,,143.0,2,new_hampshire,97.0,285.0,192.0,new_hampshire,4080,3,3.0,11,1,3,2180,81.0,0.0
55.0,69.0,105.0,1050,105.0,1,1,0,1.2,crotched_mountain,100.0,100.0,1,new_hampshire,25.0,100.0,100.0,new_hampshire,2066,1,3.0,5,0,1,1016,16.0,14.0
50.0,50.0,100.0,974,104.0,1,0,0,1.1,dartmouth_skiway,,105.0,1,new_hampshire,28.0,107.0,54.0,new_hampshire,1943,2,1.0,4,0,0,969,63.0,0.0
80.0,92.0,120.0,900,106.0,0,1,0,1.5,gunstock,60.0,,2,new_hampshire,55.0,227.0,176.0,new_hampshire,2300,1,4.0,6,0,2,1400,82.0,12.0
42.0,58.0,120.0,500,105.0,0,0,0,0.3,king_pine,23.0,107.0,0,new_hampshire,17.0,48.0,45.0,new_hampshire,850,3,2.0,6,0,3,350,57.0,16.0
83.0,93.0,100.0,1233,130.0,1,2,0,0.8,mount_sunapee,,136.0,1,new_hampshire,66.0,232.0,215.0,new_hampshire,2743,4,4.0,10,0,2,1510,71.0,10.0
58.0,72.0,100.0,690,109.0,2,0,0,1.5,pats_peak,93.0,112.0,0,new_hampshire,28.0,115.0,115.0,new_hampshire,1460,5,3.0,11,0,4,770,56.0,14.0
74.0,84.0,100.0,1000,,0,1,1,0.7,ragged_mountain_resort,,140.0,0,new_hampshire,57.0,250.0,200.0,new_hampshire,2250,3,3.0,6,0,1,1250,54.0,10.0
79.0,93.0,148.0,1984,142.0,3,2,0,1.9,waterville_valley,,142.0,0,new_hampshire,62.0,265.0,220.0,new_hampshire,4004,4,4.0,11,0,2,2020,54.0,14.0
